"Via","PK","Velocitat","Latitud","Longitud"
"A-2",445.35,120,41.5382286677437,0.459456747621729
"A-2",477.4,120,41.6365733190291,0.79043607387694
"A-2",510,120,41.6569533533028,1.16662770681457
"A-2",522.046,120,41.6666384835846,1.29696443839293
"A-2",524,120,41.6551709114667,1.31315797164068
"A-2",534.15,120,41.6226946113235,1.41584613951576
"A-2",560.25,100,41.5926201088944,1.68038487516181
"A-2",570.3,100,41.5797771213675,1.77847224548003
"A-2",579.4,100,41.537674936259,1.85924798905539
"A-2",597.45,120,41.429329148076,1.99766011686915
"A-2",602.75,100,41.385308166606,2.02179891488393
"A-2",603.2,100,41.3818756210987,2.02358480874314
"A-2",608.2,80,41.3542505491195,2.05451654657385
"A-2",609.075,80,41.3492939634736,2.06250384183366
"A-2",707.467,120,41.8929615206263,2.78437645364399
"A-2","501,5-506,5",120,"41.644227","1.074177"
"A-2","506,3-501,5",120,"41.657994","1.127419"
"A-2","539,2-545,1",120,41.6307157246697,1.46915175869819
"A-2","545,1-539,2",120,41.6098065816528,1.53097704460766
"A-2","563,2-570,1",80,"41.597869","1.711035 "
"A-26",69.729,100,42.2151535731393,2.62866527622297
"A-26",74.64,100,42.22180536896,2.57607192808843
"A-26",82.641,100,42.1932314929535,2.51402340877013
"A-7","1159-1163",80,41.130453819545,1.21502410428991
"A-7","1163-1159",80,41.1233634400272,1.26026812455783
"AP-2",11.65,100,41.4177465217981,2.00959799065636
"AP-2",154.85,120,41.5067806745493,0.773611622693529
"AP-2",164.967,120,41.4799212416867,0.875779027491934
"AP-2",173.857,120,41.4254745780249,0.945960081869729
"AP-7",164,120,41.4552660208293,1.98268313567813
"AP-7",294.48,120,40.9049083279406,0.816924456446492
"AP-7",308.608,120,40.8129122378754,0.704145796578291
"AP-7",337.045,120,40.6272275924081,0.491159184440561
"AP-7","146,6-140,6",100,41.523727,2.164614
"AP-7","343-325",120,40.5819293702733,0.454771109518916
"B-10",18.5,80,"41.340502",2.110253
"B-10",18.5,80,"41.340502",2.110253
"B-124",4.7,90,41.5896625665986,2.08928783932678
"B-140",3.12,90,41.532224055173,2.14503194909327
"B-20",18.1,80,41.4584376257037,2.21003535420749
"B-20",21.5,100,41.4682687274982,2.24473671348643
