"Longitud", "Latitud", "Texto"
1.07418, 41.64423, "INICIO DE RADAR FIJO DE TRAMO"
1.12742, 41.65799, "INICIO DE RADAR FIJO DE TRAMO"
1.46915, 41.63072, "INICIO DE RADAR FIJO DE TRAMO"
1.53098, 41.60981, "INICIO DE RADAR FIJO DE TRAMO"
1.71104, 41.59787, "INICIO DE RADAR FIJO DE TRAMO"
1.21502, 41.13045, "INICIO DE RADAR FIJO DE TRAMO"
1.26027, 41.12336, "INICIO DE RADAR FIJO DE TRAMO"
2.16461, 41.52373, "INICIO DE RADAR FIJO DE TRAMO"
0.45477, 40.58193, "INICIO DE RADAR FIJO DE TRAMO"
1.25809, 41.93994, "INICIO DE RADAR FIJO DE TRAMO"
1.29389, 42.00980, "INICIO DE RADAR FIJO DE TRAMO"
2.06535, 41.47671, "INICIO DE RADAR FIJO DE TRAMO"
2.11583, 41.40610, "INICIO DE RADAR FIJO DE TRAMO"
2.09190, 41.42566, "INICIO DE RADAR FIJO DE TRAMO"
2.06910, 41.44613, "INICIO DE RADAR FIJO DE TRAMO"
2.25949, 41.58906, "INICIO DE RADAR FIJO DE TRAMO"
2.26150, 41.60445, "INICIO DE RADAR FIJO DE TRAMO"
2.25958, 41.75000, "INICIO DE RADAR FIJO DE TRAMO"
2.24522, 41.77193, "INICIO DE RADAR FIJO DE TRAMO"
1.68983, 41.23833, "INICIO DE RADAR FIJO DE TRAMO"
1.75249, 41.21220, "INICIO DE RADAR FIJO DE TRAMO"
2.23620, 41.44830, "INICIO DE RADAR FIJO DE TRAMO"
2.26082, 41.46058, "INICIO DE RADAR FIJO DE TRAMO"
1.85870, 41.62222, "INICIO DE RADAR FIJO DE TRAMO"
2.17392, 41.46630, "INICIO DE RADAR FIJO DE TRAMO"
2.16307, 41.47306, "INICIO DE RADAR FIJO DE TRAMO"
2.18563, 41.55852, "INICIO DE RADAR FIJO DE TRAMO"
2.18563, 41.59272, "INICIO DE RADAR FIJO DE TRAMO"
2.89836, 41.82887, "INICIO DE RADAR FIJO DE TRAMO"
3.00157, 42.00451, "INICIO DE RADAR FIJO DE TRAMO"
2.92842, 42.04081, "INICIO DE RADAR FIJO DE TRAMO"
2.80224, 41.93104, "INICIO DE RADAR FIJO DE TRAMO"
2.83821, 41.95648, "INICIO DE RADAR FIJO DE TRAMO"
